,official_name,level,speakers,country,missing_speakers,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use,years_since_obs
731,Eastern Mari,Vulnerable,500000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
732,Eastern Meohang,Severely Endangered,904,Nepal,0,0,0,0,0,0,1,21.903,55.8,1.0
733,Eastern Nahua,At risk,125000,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
734,Eastern Ojibwe,Threatened,1500,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
735,Eastern Penan,Threatened,10000,Indonesia;Malaysia;Brunei,0,0,0,0,0,0,3,78.716,97.7,1.0
736,Eastern Yiddish,At risk,1200000,United States;Israel;Ukraine;Canada;Belarus,0,0,0,0,0,0,5,92.854,94.0,1.0
737,Ebughu,Threatened,5000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
738,Ecuadorian Sign Language,At risk,231000,Ecuador,0,0,0,0,0,0,1,64.792,77.2,0.0
739,Eel River Athabaskan,Dormant,0,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
740,Effutu,Threatened,20000,Ghana,0,0,0,0,0,0,1,59.238,69.9,1.0
741,Ega,Severely Endangered,1000,Côte d'Ivoire,0,0,0,0,0,0,1,53.149,40.7,1.0
742,Eitiep,Endangered,394,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
743,Ejamat,Vulnerable,50000,Senegal;Guinea-Bissau,0,0,0,0,0,0,2,49.579,60.6,1.0
744,Ekit,Vulnerable,200000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
745,El Hugeirat,Severely Endangered,50,Sudan,0,0,0,0,0,0,1,36.342,26.4,4.0
746,El Molo,Dormant,0,Kenya,1,0,0,0,0,0,1,29.52,35.0,1.0
747,Elepi,Endangered,149,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
748,Elkei,Threatened,1640,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
749,Elotepec Zapotec,Threatened,5070,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
750,Elseng,Endangered,300,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
751,Elu,Endangered,220,Papua New Guinea,0,0,0,1,0,0,1,13.723,24.1,1.0
752,Emae,Endangered,400,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
753,Eman,Endangered,800,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
754,Emberá-Catío,Vulnerable,88747,Colombia;Panama,0,0,0,0,0,0,2,82.354,78.0,1.0
756,Emmi,Critically Endangered,20,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
757,Emplawas,Endangered,250,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
758,Emumu,Threatened,1100,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
759,En,Endangered,200,China;Viet Nam,0,96,20,21,15,36,2,64.57,78.1,1.0
760,Enawené-Nawé,Endangered,445,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
761,Enenlhet,Threatened,1275,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
762,Enggano,Threatened,1000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
763,Enlhet Norte,Threatened,7500,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
764,Enwan,Vulnerable,15000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
765,Enxet Sur,Threatened,3627,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
766,Eora,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
767,Epena,Vulnerable,88800,Colombia;Ecuador;Panama,0,0,0,0,0,0,3,82.354,78.0,1.0
768,Erohwa,Severely Endangered,850,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
769,Erokwanas,Endangered,250,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
770,Erre,Critically Endangered,1,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
771,Ersu,Threatened,13000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
772,Erzya,Threatened,250000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
773,Ese'jja,Vulnerable,1680,Peru;Bolivia,0,0,0,0,0,0,2,78.922,79.5,1.0
774,Estonian Sign Language,Threatened,4500,Estonia,0,0,0,0,0,0,1,69.81,93.2,1.0
775,Etebi,Vulnerable,15000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
776,Etla Zapotec,Threatened,1276,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
777,Eton,Endangered,500,Vanuatu,0,0,0,1,0,0,1,25.976,45.7,1.0
778,Eudeve,Dormant,0,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
779,Evant,Vulnerable,11000,Nigeria;Cameroon,0,0,0,0,0,0,2,59.315,41.9,1.0
780,Even,Severely Endangered,7000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
781,Evenki,Endangered,10000,Russian Federation;China;Mongolia,0,0,0,0,0,0,3,75.331,92.2,1.0
782,Éy7á7juuthem (Comox),Critically Endangered,78,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
783,Eyak,Awakening,5,United States,1,0,0,0,0,0,1,83.298,93.1,1.0
784,Fadashi,Threatened,8715,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
785,Fagani,Endangered,900,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
786,Faire Atta,Endangered,550,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
787,Faiwol,Threatened,4500,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
788,Falam Chin,Vulnerable,107300,India;Myanmar,0,0,0,0,0,0,2,36.364,58.5,1.0
789,Fali of Baissa,Critically Endangered,3,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
790,Fam,Endangered,500,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
791,Fang,Threatened,6000,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
792,Farnanto,Severely Endangered,100,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
793,Farsaf,Endangered,160,Vanuatu,0,0,0,0,0,0,1,25.976,45.7,1.0
794,Farvi,Endangered,500,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
795,Fas,Threatened,5000,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
796,Fasu,Threatened,1200,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
797,Fayu,Threatened,400,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
798,Fembe,Endangered,350,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
799,Figuig,Threatened,14280,Morocco,0,0,0,0,0,0,1,65.121,91.0,1.0
800,Finnish Sign Language,Threatened,5000,Finland,0,0,0,0,0,0,1,85.773,93.5,1.0
801,Finnish-Swedish Sign Language,Endangered,150,Finland,0,0,0,0,0,0,1,85.773,93.5,1.0
802,Firan,Vulnerable,3000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
803,Flemish Sign Language,Threatened,6000,Belgium,0,0,0,0,0,0,1,98.189,94.6,1.0
804,Flinders Island,Critically Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
805,Foau,Endangered,230,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
806,Fongoro,Critically Endangered,3,Chad,0,0,0,0,0,0,1,24.366,13.2,1.0
807,Forest Enets,Severely Endangered,10,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
808,Francoprovençal,Endangered,130000,France;Italy;Switzerland,0,0,0,0,0,0,3,81.777,97.3,1.0
809,Friulian,Threatened,600412,Italy,0,0,1,0,0,0,1,71.973,87.0,1.0
810,Fungom,Threatened,1000,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
811,Fyem,Endangered,14000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
812,Gaa,Threatened,10000,Nigeria,0,0,1,0,0,0,1,54.283,39.2,1.0
813,Gadang,Threatened,2500,Chad,0,0,0,0,0,0,1,24.366,13.2,1.0
814,Gaddi,At risk,120000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
815,Gagauz,Vulnerable,200000,Ukraine;Bulgaria;Romania;Greece;Macedonia;Moldova,0,0,1,0,0,0,6,80.673,89.2,1.0
816,Gagudju,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
817,Gahri,Threatened,3500,India,0,0,0,0,0,0,1,36.364,55.9,2.0
818,Gaikundi,Endangered,650,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
819,Gajirrabeng,Critically Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
820,Gallo,Threatened,400000,France,0,0,0,0,0,0,1,81.777,86.8,1.0
821,Gallurese Sardinian,At risk,100000,Italy,0,0,0,0,0,0,1,71.973,87.0,1.0
822,Galo,Vulnerable,40000,India,0,0,1,0,0,0,1,36.364,55.9,2.0
823,Galoli,Vulnerable,13000,Timor-Leste,0,0,0,0,0,0,1,32.456,34.0,1.0
824,Galu,Endangered,208,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
825,Gamale Kham,Vulnerable,30000,Nepal,0,0,0,0,0,0,1,21.903,55.8,1.0
826,Gamberre,Critically Endangered,6,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
827,Gana,Endangered,1000,Malaysia,0,0,0,0,0,0,1,78.716,97.7,1.0
828,Ganggalida,Critically Endangered,1,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
829,Gangte,Vulnerable,15100,India;Myanmar,0,0,0,0,0,0,2,36.364,58.5,1.0
830,Ganjulé,Severely Endangered,50,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
831,Gansu Bonan,Threatened,15000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
832,Ganza,Threatened,5400,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
833,Ganzi,Threatened,1400,Central African Republic,0,0,0,0,0,0,1,43.614,7.51,5.0
834,Gao,Threatened,900,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
835,Gao Gelao,Severely Endangered,6000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
836,Gardiol,Severely Endangered,300,Italy,0,0,0,0,0,0,1,71.973,87.0,1.0
837,Garhwali,Vulnerable,2920000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
838,Garífuna,At risk,100000,Honduras;Guatemala;Belize,0,0,0,0,0,0,3,60.212,72.4,1.0
839,Garig,Critically Endangered,4,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
840,Garlali,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
841,Garma'i,Severely Endangered,10,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
842,Garo,Vulnerable,700000,India;Bangladesh,0,0,0,0,0,0,2,40.473,55.9,2.0
843,Garre,Vulnerable,57500,Somalia,0,0,0,0,0,0,1,47.92,27.6,2.0
844,Garrwa,Severely Endangered,59,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
845,Gascon,At risk,250000,France;Spain,0,0,0,0,0,0,2,81.777,95.4,1.0
846,Gats'amé,Threatened,1000,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
847,Gawar-Bati,Vulnerable,10000,Afghanistan;Pakistan,0,0,0,0,0,0,2,38.04,27.4,1.0
848,Gayiri,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
849,Gazi,Threatened,7030,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
850,Gbanziri,Vulnerable,17500,"Central African Republic;Congo, Dem. Rep.",0,0,0,0,0,0,2,47.444,30.5,1.0
851,Gbayi,Threatened,5000,Central African Republic,0,0,0,0,0,0,1,43.614,7.51,5.0
852,Gbii,Threatened,5600,Liberia,0,0,0,0,0,0,1,53.567,23.5,1.0
853,Gebe,Threatened,2000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
854,Geji,Threatened,1000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
855,Geme,Endangered,550,Central African Republic,0,0,0,0,0,0,1,43.614,7.51,5.0
856,Geruma,Threatened,4700,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
857,Geviya,Severely Endangered,400,Gabon,0,0,0,0,0,0,1,91.029,71.9,1.0
858,Ghadamès,Threatened,4000,Tunisia;Libya,0,0,0,0,0,0,2,81.606,88.5,1.0
859,Ghodoberi,Endangered,4000,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
860,Ghomara,Threatened,10000,Morocco,0,0,0,0,0,0,1,65.121,91.0,1.0
861,Gija,Critically Endangered,12,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
862,Girramay,Severely Endangered,10,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
863,Githabul,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
864,Gitsenimx̱,Severely Endangered,255,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
865,Giyug,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
866,Gizrra,Threatened,1050,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
867,Gnau,Endangered,980,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
868,Gongduk,Threatened,1000,Bhutan,0,0,0,0,0,0,1,44.35,88.4,1.0
869,Gooniyandi,Severely Endangered,100,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
870,Gorap,Endangered,1000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
871,Goreng,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
872,Gorovu,Critically Endangered,20,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
873,Gorum,Endangered,6000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
874,Gorwaa,Threatened,132748,Tanzania,0,0,0,0,0,0,1,37.409,29.1,1.0
875,Goundo,Critically Endangered,30,Chad,0,0,0,0,0,0,1,24.366,13.2,1.0
876,Gowro,Threatened,1000,Pakistan,0,0,0,0,0,0,1,38.04,27.4,1.0
877,Grangali,Threatened,5000,Afghanistan,0,0,0,0,0,0,1,26.933,17.7,1.0
878,Grass Koiari,Threatened,1700,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
879,Green Gelao,Severely Endangered,6000,China;Viet Nam,0,0,0,0,0,0,2,64.57,78.1,1.0
880,Gros Ventre,Awakening,5,United States,1,0,0,0,0,0,1,83.298,93.1,1.0
881,Gta',Threatened,3000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
882,Guajajára,Vulnerable,14000,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
883,Guajiro,Vulnerable,312730,"Colombia;Venezuela, RB",0,0,0,0,0,0,2,88.438,77.3,1.0
884,Guamaca,Threatened,1922,Colombia,0,0,0,0,0,0,1,82.354,77.3,1.0
885,Guana (Paraguay),Critically Endangered,4,Paraguay,0,0,0,0,0,0,1,63.149,78.1,1.0
886,Guarayu,Threatened,8433,Bolivia,0,1,0,0,0,0,1,71.186,70.2,1.0
887,Guarequena,Endangered,180,"Brazil;Venezuela, RB",0,0,0,0,0,0,2,88.438,84.2,1.0
888,Guarijío,Threatened,2136,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
889,Guatemalan Sign Language,Threatened,256000,Guatemala,0,0,0,0,0,0,1,53.098,56.1,1.0
890,Guató,Critically Endangered,5,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
891,Guazacapán Xinka,Dormant,0,Guatemala,0,0,0,0,0,0,1,53.098,56.1,1.0
892,Gubbi Gubbi,Dormant,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
893,Gudjal,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
894,Guernésiais,Endangered,300,United Kingdom,0,0,0,0,0,0,1,84.642,96.3,1.0
895,Guerrero Mixtec,Vulnerable,97200,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
896,Gugu-Badhun,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
897,Gugu-Warra,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
898,Guiqiong,Endangered,9677,China,0,0,0,0,0,0,1,64.57,77.5,1.0
899,Gullah-Geechee,Endangered,300,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
900,Gumbaynggir,Severely Endangered,40,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
901,Gundi,Threatened,9000,Central African Republic,0,0,0,0,0,0,1,43.614,7.51,5.0
902,Gundungurra,Awakening,5,Australia,1,0,0,0,0,0,1,86.617,97.1,1.0
903,Gungabula,Critically Endangered,2,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
904,Gunggari,Severely Endangered,10,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
905,Gunin,Severely Endangered,50,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
906,Gününa-Küne,Dormant,0,Argentina,0,0,0,0,0,0,1,92.463,89.2,1.0
907,Gunya,Critically Endangered,3,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
908,Guramalum,Dormant,0,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
909,Gurani,Vulnerable,100000,"Iran, Islamic Rep.;Iraq",0,0,0,0,0,0,2,77.257,81.7,1.0
910,Gureng Gureng,Critically Endangered,1,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
911,Guriaso,Endangered,421,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
912,Gurindji,Endangered,175,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
913,Gurmana,Threatened,3000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
914,Gurr-goni,Critically Endangered,20,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
915,Gusilay,Vulnerable,25000,Senegal,0,0,0,0,0,0,1,49.579,60.6,1.0
916,Gutob,Endangered,8000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
917,Guugu-Yimidhirr,Severely Endangered,20,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
918,Guus,Threatened,7000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
919,Guwa,Dormant,0,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
920,Guwamu,Critically Endangered,1,Australia,0,0,0,0,0,0,1,86.617,97.1,1.0
921,Guya,Endangered,130,Papua New Guinea,0,0,0,0,0,1,1,13.723,24.1,1.0
922,Gwamhi-Wuri,Vulnerable,16000,Nigeria;Benin,0,0,0,0,0,0,2,54.283,39.2,1.0
923,Gweda,Severely Endangered,26,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
924,Gweno,Threatened,3,Tanzania,0,0,0,0,0,0,1,37.409,29.1,1.0
925,Gwich'in,Severely Endangered,550,United States;Canada,0,0,0,0,0,0,2,83.298,94.0,1.0
926,Gyalsumdo,Threatened,400,Nepal,0,0,0,0,0,0,1,21.903,55.8,1.0
927,Gyele,Endangered,5000,Cameroon;Equatorial Guinea,0,0,0,0,0,0,2,74.448,60.4,1.0
928,Gyem,Endangered,100,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
929,Habu,Threatened,1000,Timor-Leste,0,0,0,0,0,0,1,32.456,34.0,1.0
930,Hachijo,Endangered,8000,Japan,0,0,0,0,0,0,1,92.043,87.0,1.0
931,Hadza,Threatened,950,Tanzania,0,0,0,0,0,0,1,37.409,29.1,1.0
932,Haeke,Severely Endangered,100,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
933,Hahon,Vulnerable,3000,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
934,Hai Phong Sign Language,Endangered,1800,Viet Nam,0,0,0,0,0,0,1,39.48,78.1,1.0
935,Hamer-Bana-Kara,Vulnerable,42800,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
936,Han,Critically Endangered,9,United States;Canada,0,2,1,0,1,0,2,83.298,94.0,1.0
937,Hanga,Threatened,6800,Ghana,0,1,0,0,0,0,1,59.238,69.9,1.0
938,Hanis,Dormant,0,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
939,Hanoi Sign Language,Endangered,39000,Viet Nam,0,0,0,0,0,0,1,39.48,78.1,1.0
940,Harakmbut,Endangered,1000,Brazil;Peru,0,0,0,0,0,0,2,87.788,84.2,1.0
941,Hare,Severely Endangered,75,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
942,Ḥarsusi,Endangered,700,Oman,0,0,0,0,0,0,1,88.4,95.3,0.0
943,Haruai,Endangered,100,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
944,Harzani,Vulnerable,28100,"Iran, Islamic Rep.",0,0,0,0,0,0,1,77.257,79.6,1.0
945,Hasha,Endangered,400,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
946,Hatam,Vulnerable,16000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
947,Haveke,Endangered,300,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
948,Hawai'i Sign Language,Critically Endangered,30,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
949,Hawaiian,Severely Endangered,300,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
950,Hawu,At risk,100000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
951,Háiɫzaqvḷa (Heiltsuk),Critically Endangered,26,Canada,0,0,0,0,0,0,1,81.862,94.0,1.0
952,Helambu Sherpa,Threatened,9842,Nepal,0,0,0,0,0,0,1,21.903,55.8,1.0
953,Helong,Threatened,14000,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
954,Herero,Vulnerable,24500,Botswana;Namibia;Angola,0,0,0,0,0,0,3,72.867,81.4,1.0
955,Hewa,Threatened,2000,Papua New Guinea,0,1,0,0,1,0,1,13.723,24.1,1.0
956,Heyo,Threatened,1824,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
957,Hidatsa,Critically Endangered,100,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
958,Highland Chontal,Threatened,3413,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
959,Highland Ecuadorian Quichua,Vulnerable,1153800,Ecuador,0,0,0,0,0,0,1,64.792,77.2,0.0
960,Hijuk,Endangered,400,Cameroon,0,0,0,0,0,0,1,59.315,41.9,1.0
961,Hill Miri,Threatened,10000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
962,Himba,Vulnerable,35000,Namibia;Angola,0,0,0,0,0,0,2,68.688,64.4,1.0
963,Hinduri,Endangered,138,India,0,0,0,0,0,0,1,36.364,55.9,2.0
964,Hinukh,Endangered,600,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
965,Hiw,Endangered,120,Vanuatu,0,0,1,0,0,0,1,25.976,45.7,1.0
966,Hixkaryana,Endangered,600,Brazil,0,0,0,0,0,0,1,87.788,84.2,1.0
968,Hlersu,Vulnerable,15000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
969,Hmar,Vulnerable,83404,India,0,0,0,0,0,0,1,36.364,55.9,2.0
970,Hmwaveke,Endangered,300,New Caledonia,0,0,0,0,0,0,1,72.719,82.0,7.0
971,Ho Chi Minh City Sign Language,Endangered,45000,Viet Nam,0,0,0,0,0,0,1,39.48,78.1,1.0
972,Hoava,Threatened,2360,Solomon Islands,0,0,0,0,0,0,1,26.037,42.5,1.0
973,Hobyot,Endangered,400,Yemen;Oman,0,0,0,0,0,0,2,88.4,95.3,0.0
974,Holikachuk,Dormant,0,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
975,Honduran Lenca,Dormant,0,Honduras,0,0,0,0,0,0,1,60.212,58.3,1.0
976,Hõne,Severely Endangered,7000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
977,Hong Kong Sign Language,Threatened,9000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
978,Hopi,Threatened,5000,United States,0,0,0,0,0,0,1,83.298,93.1,1.0
979,Horom,Vulnerable,1500,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
980,Horpa,Vulnerable,45000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
981,Hoti,Critically Endangered,10,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
982,Hozo,Threatened,3000,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
983,Hpon,Dormant,0,Myanmar,0,0,0,0,0,0,1,32.112,58.5,1.0
984,Hruso,Threatened,3000,India,0,0,0,0,0,0,1,36.364,55.9,2.0
985,Hu,Endangered,700,China,0,3,7,8,0,0,1,64.57,77.5,1.0
986,Huallaga Quechua,Vulnerable,40000,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
987,Huambisa,Threatened,8000,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
988,Huave,Vulnerable,15000,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
989,Huaylas Quechua,Vulnerable,336000,Peru,0,0,0,0,0,0,1,78.922,79.5,1.0
990,Huehuetla Tepehua,Threatened,3000,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
991,Huichol,Vulnerable,35724,Mexico,0,0,0,0,0,0,1,81.582,81.2,1.0
992,Hukumina,Critically Endangered,1,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
993,Hulaulá,Threatened,9500,"Israel;Iran, Islamic Rep.",0,0,0,0,0,0,2,92.854,87.0,1.0
994,Hulung,Critically Endangered,10,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
995,Hulʻqʻumiʻnumʻ (Halkomelem),Severely Endangered,105,United States;Canada,0,0,0,0,0,0,2,83.298,94.0,1.0
996,Hung,Endangered,500,Viet Nam;Lao PDR,0,1,2,5,0,0,2,39.48,78.1,1.0
997,Hungworo,Threatened,5000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
998,Hunzib,Endangered,800,Russian Federation,0,0,0,0,0,0,1,75.331,92.2,1.0
999,Hupda,Threatened,1500,Brazil;Colombia,0,0,0,0,0,0,2,87.788,84.2,1.0
1000,Huzhu,Endangered,50000,China,0,0,0,0,0,0,1,64.57,77.5,1.0
1001,Hwarasa,Critically Endangered,3,Ethiopia,0,0,0,0,0,0,1,23.157,16.7,3.0
1002,Hwela,Threatened,1500,Ghana,0,0,0,0,0,0,1,59.238,69.9,1.0
1003,I'saka,Severely Endangered,347,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
1004,Iatmul,Threatened,46000,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
1005,Ibani,Vulnerable,60000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
1006,Ibatan,Threatened,3000,Philippines,0,0,0,0,0,0,1,48.287,83.8,1.0
1007,Ibino,Threatened,10000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
1008,Ibu,Severely Endangered,10,Indonesia,0,0,0,0,0,0,1,58.572,69.2,1.0
1009,Ibuoro,Threatened,10000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
1010,Ica,Vulnerable,14799,Colombia,0,0,1,1,1,0,1,82.354,77.3,1.0
1011,Idon,Threatened,5000,Nigeria,0,0,0,0,0,0,1,54.283,39.2,1.0
1012,Iduh,Severely Endangered,30,Viet Nam;Lao PDR,0,0,0,0,0,0,2,39.48,78.1,1.0
1013,Igana,Endangered,114,Papua New Guinea,0,0,0,0,0,0,1,13.723,24.1,1.0
